시도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),운영기관(대),운영기관(소),급속충전량,충전기타입,이용자제한,위도경도
서울특별시,은평구,서울특별시 은평구 통일로 630,서울은평_래미안베라힐즈아파트2,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.602845,126.9359558"
서울특별시,강남구,서울특별시 강남구 영동대로 333 (대치동),서울강남 동원빌딩,공동주택시설,사업장(사옥),완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.5041517,127.0648702"
경기도,하남시,경기도 하남시 미사대로 750,스타필드하남점,상업시설,마트(쇼핑몰),완속,AC완속,타기관(보조금),신세계아이앤씨,,AC완속,이용가능,"37.5455,127.2236"
울산광역시,울주군,울산광역시 울주군 언양읍 샘소3길 25,울주군민체육관,공공시설,지자체시설,완속,AC완속,타기관(보조금),휴맥스이브이,,AC완속,이용가능,"35.555228,129.183246"
대구광역시,동구,대구광역시 동구 송라로16길 11,동대구반도유보라,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"35.875528732,128.61795627"
경기도,용인시,경기도 용인시 수지구 광교중앙로296번길 4,골든풍산리치안오피스텔,기타시설,오피스텔,완속,AC완속,타기관(보조금),이카플러그,,AC완속,이용가능,"37.2960425,127.0696362"
경기도,안양시,경기도 안양시 동안구 엘에스로 35,호계아크로리버,공동주택시설,아파트,완속,AC완속,타기관,휴맥스이브이,,AC완속,이용가능,"37.366672349,126.95558400"
대전광역시,유성구,대전광역시 유성구 테크노중앙로 50,성진자산관리(주) 관평디티비안S,기타시설,오피스텔,완속,AC완속,타기관(보조금),파워큐브,,AC완속,이용가능,"36.4262783,127.3906492"
서울특별시,성동구,서울특별시 성동구 독서당로 272,서울성동 금호동대우아파트12,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.546515844,127.02065167"
경상남도,김해시,경상남도 김해시 번화1로56번길 15,롯데마트 장유점,상업시설,마트(쇼핑몰),급속,DC콤보,타기관,이브이시스,,DC콤보,이용가능,"35.1932463,128.801042"
강원특별자치도,영월군,강원특별자치도 영월군 영월읍 청령포로 133,영월군청 청령포,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"37.1774461,128.4477685"
서울특별시,서초구,서울특별시 서초구 명달로 45,서울서초_상문고등학교,교육문화시설,학교,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.4797554,127.0039168"
부산광역시,기장군,부산광역시 기장군 기장읍 기장해안로 147,롯데프리미엄아울렛 동부산점,상업시설,백화점,완속,AC완속,타기관,이브이시스,,AC완속,이용가능,"35.190242396,129.21136437"
서울특별시,구로구,서울특별시 구로구 디지털로26길 38,서울 구로 지타워 B3F,공동주택시설,아파트,완속,AC완속,타기관,한화솔루션,,AC완속,이용가능,"37.4800314,126.8955875"
서울특별시,광진구,서울특별시 광진구 능동로 69,자양 호반써밋아파트,공동주택시설,아파트,완속,AC완속,타기관,스타코프,,AC완속,이용가능,"37.537841231,127.06899427"
전북특별자치도,장수군,전북특별자치도 장수군 장수읍 신천로 8,장수경찰서,공공시설,공공기관,급속,DC콤보,타기관(보조금),휴맥스이브이,,DC콤보,이용가능,"35.6472886,127.5163189"
충청북도,진천군,충청북도 진천군 덕산읍 대하로 150,우미린스테이아파트,공동주택시설,아파트,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"36.9037159,127.5365722"
서울특별시,성북구,서울특별시 성북구 성북로4길 52,돈암동 한신한진아파트111동,공동주택시설,아파트,완속,AC완속,타기관(보조금),에버온,,AC완속,이용가능,"37.5941799,127.0102474"
부산광역시,해운대구,부산광역시 해운대구 세실로 175,부산한마음스포츠센터,기타시설,기타,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"35.1803978,129.1766873"
서울특별시,노원구,서울특별시 노원구 중계로8길 20,서울시 노원구 중계현대6차아파트,공동주택시설,아파트,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.645360848,127.08321810"
울산광역시,남구,울산광역시 남구 남부순환도로 180,문수월드컵경기장 (스쿼시장),교육문화시설,경기장,완속,AC완속,타기관(보조금),휴맥스이브이,,AC완속,이용가능,"35.533926459,129.26518109"
충청남도,아산시,충청남도 아산시 중앙로 40,온양2동사무소,공공시설,주민센터,완속,AC완속,타기관(보조금),GS차지비,,AC완속,이용가능,"36.77839,127.00344"
경기도,수원시,경기도 수원시 영통구 봉영로 1432-36,경기수원 e편한세상영통2차2단지1,공동주택시설,아파트,완속,AC완속,타기관,에버온,,AC완속,이용가능,"37.240775165,127.06598732"
충청북도,청주시,충청북도 청주시 상당구 수영로 378,호미골체육공원,관광시설,공원,급속,DC콤보,타기관,이브이시스,,DC콤보,이용가능,"36.6332132,127.5142767"
경기도,양주시,경기도 양주시 고읍북로 91-13,마스터종합정비,기타시설,기타,완속,AC완속,타기관,쿨사인,,AC완속,이용가능,"37.7951195,127.0876897"
강원특별자치도,춘천시,강원특별자치도 춘천시 동면 춘천로 575,춘천시 수향모텔,상업시설,숙박시설,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.898258874,127.76667673"
강원특별자치도,동해시,강원특별자치도 동해시 평릉길 1,동해시 동해현진관광호텔,상업시설,숙박시설,완속,AC완속,타기관,GS차지비,,AC완속,이용가능,"37.5263012,129.1030591"
부산광역시,사상구,부산광역시 사상구 괘감로 37,산업용품유통상가,기타시설,기타,완속,AC완속,타기관(보조금),스타코프,,AC완속,이용가능,"35.1597552,128.9804344"
